column_name,pearsonr_correlation,pearsonr_pvalue,has_drifted,rank
snow_depth,0.5124086631558946,0.08850955130644463,False,1
pressure,0.1106259255636174,0.6068278097942472,True,2
cloud_cover,0.10621573002901905,0.6213260771339961,False,3
min_temp,0.04485387471831438,0.8351414504090892,False,4
precipitation,0.04008902785253886,0.8524562685152874,True,5
max_temp,-6.506866753329457e-05,0.9997592369480596,False,6
sunshine,-0.048177920315545554,0.8231056793354241,True,7
global_radiation,-0.2580352745815496,0.22346204760721267,True,8
