chunk,chunk,chunk,chunk,chunk,chunk,chunk,cloud_cover,cloud_cover,cloud_cover,cloud_cover,cloud_cover,cloud_cover,cloud_cover,cloud_cover,global_radiation,global_radiation,global_radiation,global_radiation,global_radiation,global_radiation,global_radiation,global_radiation,max_temp,max_temp,max_temp,max_temp,max_temp,max_temp,max_temp,max_temp,min_temp,min_temp,min_temp,min_temp,min_temp,min_temp,min_temp,min_temp,precipitation,precipitation,precipitation,precipitation,precipitation,precipitation,precipitation,precipitation,pressure,pressure,pressure,pressure,pressure,pressure,pressure,pressure,snow_depth,snow_depth,snow_depth,snow_depth,snow_depth,snow_depth,snow_depth,snow_depth,sunshine,sunshine,sunshine,sunshine,sunshine,sunshine,sunshine,sunshine
chunk,chunk,chunk,chunk,chunk,chunk,chunk,wasserstein,wasserstein,wasserstein,wasserstein,hellinger,hellinger,hellinger,hellinger,wasserstein,wasserstein,wasserstein,wasserstein,hellinger,hellinger,hellinger,hellinger,wasserstein,wasserstein,wasserstein,wasserstein,hellinger,hellinger,hellinger,hellinger,wasserstein,wasserstein,wasserstein,wasserstein,hellinger,hellinger,hellinger,hellinger,wasserstein,wasserstein,wasserstein,wasserstein,hellinger,hellinger,hellinger,hellinger,wasserstein,wasserstein,wasserstein,wasserstein,hellinger,hellinger,hellinger,hellinger,wasserstein,wasserstein,wasserstein,wasserstein,hellinger,hellinger,hellinger,hellinger,wasserstein,wasserstein,wasserstein,wasserstein,hellinger,hellinger,hellinger,hellinger
key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
2019-01,0,0,30,2019-01-01,2019-01-31 23:59:59.999999999,analysis,0.6652847841946097,2.005846003349598,,False,0.1877038916433593,0.4845842089324305,,False,88.26475175373406,144.7688176204985,,False,0.5942958708076844,0.7290027424505515,,False,8.008559016559607,12.247939819357038,,False,0.6260671771625796,0.8132299933929232,,False,5.550810016428033,9.527779484493102,,False,0.5294606252371581,0.7836913689983083,,False,0.7726574234616754,2.463216302544855,,False,0.17591928030600149,0.3460956651376524,,False,504.38145890434294,1269.22699700758,,False,0.3432410720947213,0.6016429225043805,,False,0.03885247137051964,0.7953202563511708,,False,0.07175017081036078,0.22358313251519957,,False,2.5168902808284237,4.853849656553957,,False,0.3995251206386248,0.5852836747908198,,False
2019-02,1,31,58,2019-02-01,2019-02-28 23:59:59.999999999,analysis,1.173098922109962,2.005846003349598,,False,0.2774637293168715,0.4845842089324305,,False,51.55740258182731,144.7688176204985,,False,0.49081327058380914,0.7290027424505515,,False,3.2603862197125326,12.247939819357038,,False,0.3942802709054151,0.8132299933929232,,False,4.330339510952127,9.527779484493102,,False,0.5620993444159574,0.7836913689983083,,False,0.5841975391611045,2.463216302544855,,False,0.1919622629678136,0.3460956651376524,,False,520.7224147575498,1269.22699700758,,False,0.46237571799062394,0.6016429225043805,,False,0.07644705103171556,0.7953202563511708,,False,0.12363044328971882,0.22358313251519957,,False,0.7320655932336017,4.853849656553957,,False,0.3595224788310967,0.5852836747908198,,False
2019-03,2,59,89,2019-03-01,2019-03-31 23:59:59.999999999,analysis,0.30675916609189313,2.005846003349598,,False,0.22195828199893874,0.4845842089324305,,False,33.45529530134625,144.7688176204985,,False,0.4523571417616723,0.7290027424505515,,False,4.078385536397969,12.247939819357038,,False,0.5185387682669371,0.8132299933929232,,False,2.856149864476855,9.527779484493102,,False,0.5011284334888817,0.7836913689983083,,False,0.6794183057561599,2.463216302544855,,False,0.17153527276500366,0.3460956651376524,,False,452.7775631040251,1269.22699700758,,False,0.3620355854693943,0.6016429225043805,,False,0.03885247137051964,0.7953202563511708,,False,0.07175017081036078,0.22358313251519957,,False,0.6571610574948709,4.853849656553957,,False,0.3386298903853147,0.5852836747908198,,False
2019-04,3,90,119,2019-04-01,2019-04-30 23:59:59.999999999,analysis,0.6804281126644738,2.005846003349598,,False,0.2066359054491508,0.4845842089324305,,False,50.35765826422784,144.7688176204985,,False,0.5405813458654147,0.7290027424505515,,False,1.5046086899384028,12.247939819357038,,False,0.3562203620084377,0.8132299933929232,,False,2.3818457885014235,9.527779484493102,,False,0.39871703800267516,0.7836913689983083,,False,1.2345706899384639,2.463216302544855,,False,0.23267619073051204,0.3460956651376524,,False,257.1216509453684,1269.22699700758,,False,0.32000152109303365,0.6016429225043805,,False,0.03885247137051964,0.7953202563511708,,False,0.07175017081036078,0.22358313251519957,,False,1.3984392977412703,4.853849656553957,,False,0.37456148298788305,0.5852836747908198,,False
2019-05,4,120,150,2019-05-01,2019-05-31 23:59:59.999999999,analysis,0.45540728790853163,2.005846003349598,,False,0.3893113925898636,0.4845842089324305,,False,76.62597095425755,144.7688176204985,,False,0.5650458272871413,0.7290027424505515,,False,3.747548214678427,12.247939819357038,,False,0.4264713187830714,0.8132299933929232,,False,2.2741742423001696,9.527779484493102,,False,0.4496151131758711,0.7836913689983083,,False,0.5996304135921666,2.463216302544855,,False,0.14077885995036934,0.3460956651376524,,False,234.8150674806288,1269.22699700758,,False,0.34977083107827855,0.6016429225043805,,False,0.03885247137051964,0.7953202563511708,,False,0.07175017081036078,0.22358313251519957,,False,1.4151682472676672,4.853849656553957,,False,0.42248017302972524,0.5852836747908198,,False
2019-06,5,151,180,2019-06-01,2019-06-30 23:59:59.999999999,analysis,0.44350005345394733,2.005846003349598,,False,0.23299251964637646,0.4845842089324305,,False,49.26317089987083,144.7688176204985,,False,0.4920316754828905,0.7290027424505515,,False,6.345060911704353,12.247939819357038,,False,0.5577532428349069,0.8132299933929232,,False,4.419699832991851,9.527779484493102,,False,0.563457521274025,0.7836913689983083,,False,1.1185118973306403,2.463216302544855,,False,0.21874821005385472,0.3460956651376524,,False,371.17329180452145,1269.22699700758,,False,0.30741455744269536,0.6016429225043805,,False,0.03885247137051964,0.7953202563511708,,False,0.07175017081036078,0.22358313251519957,,False,1.3629765331964365,4.853849656553957,,False,0.3599044474838172,0.5852836747908198,,False
2019-07,6,181,211,2019-07-01,2019-07-31 23:59:59.999999999,analysis,0.47386009722516925,2.005846003349598,,False,0.1253312155340855,0.4845842089324305,,False,74.1026589258529,144.7688176204985,,False,0.4733670268061631,0.7290027424505515,,False,10.246604581506329,12.247939819357038,,False,0.7023395831239863,0.8132299933929232,,False,7.388513760439314,9.527779484493102,,False,0.6782545782290516,0.7836913689983083,,False,0.5671444987746553,2.463216302544855,,False,0.24241602877295584,0.3460956651376524,,False,305.34914933339115,1269.22699700758,,False,0.34684247275428876,0.6016429225043805,,False,0.03885247137051964,0.7953202563511708,,False,0.07175017081036078,0.22358313251519957,,False,1.951603272371992,4.853849656553957,,False,0.29194829934564265,0.5852836747908198,,False
2019-08,7,212,242,2019-08-01,2019-08-31 23:59:59.999999999,analysis,1.2802310649671047,2.005846003349598,,False,0.28454522314648145,0.4845842089324305,,False,78.90537651800537,144.7688176204985,,False,0.5973500750786785,0.7290027424505515,,False,9.73968425866072,12.247939819357038,,False,0.6997052490846657,0.8132299933929232,,False,6.570079382615761,9.527779484493102,,False,0.6415386733896864,0.7836913689983083,,False,0.591427255348791,2.463216302544855,,False,0.13494001917406329,0.3460956651376524,,False,342.8594235156446,1269.22699700758,,False,0.322173042709636,0.6016429225043805,,False,0.03885247137051964,0.7953202563511708,,False,0.07175017081036078,0.22358313251519957,,False,2.2869768060983406,4.853849656553957,,False,0.3824581164233759,0.5852836747908198,,False
